amber;a deep yellow color "an amber light illuminated the room" "he admired the gold of her hair" 
ar;a colorless and odorless inert gas one of the six inert gases comprises approximately 1% of the earth's atmosphere 
barker;someone who stands in front of a show (as at a carnival) and gives a loud colorful sales talk to potential customers 
beryl;the chief source of beryllium colored transparent varieties are valued as gems 
bishop;(chess) a piece that can be moved diagonally over unoccupied squares of the same color 
black;the quality or state of the achromatic color of least lightness (bearing the least resemblance to white) 
bloom;reproductive organ of angiosperm plants especially one having showy or colorful parts 
bloom;a rosy color (especially in the cheeks) taken as a sign of good health 
burgundy;a dark purplish-red to blackish-red color 
callas;Greek coloratura soprano (born in the United States) known for her dramatic intensity in operatic roles (1923-1977) 
carmine;a variable color averaging a vivid red 
carnation;a pink or reddish-pink color 
carnation;Eurasian plant with pink to purple-red spice-scented usually double flowers widely cultivated in many varieties and many colors 
caterpillar;a wormlike and often brightly colored and hairy or spiny larva of a butterfly or moth 
chagall;French painter (born in Russia) noted for his imagery and brilliant colors (1887-1985) 
charolais;large white or cream-colored breed from France 
cherry;a red the color of ripe cherries 
clementine;a mandarin orange of a deep reddish orange color and few seeds 
concord;a harmonious state of things in general and of their properties (as of colors and sounds) congruity of parts with one another and with the whole 
crystal;colorless glass made of almost pure silica 
dalton;English chemist and physicist who formulated atomic theory and the law of partial pressures gave the first description of red-green color blindness (1766-1844) 
eastman;United States inventor of a dry-plate process of developing photographic film and of flexible film (his firm introduced roll film) and of the box camera and of a process for color photography (1854-1932) 
ebony;tropical tree of southern Asia having hard dark-colored heartwood used in cabinetwork 
ebony;hard dark-colored heartwood of the ebony tree used in cabinetwork and for piano keys 
gouda;mild cream-colored Dutch cheese shaped in balls 
gray;clothing that is a grey color "he was dressed in grey" 
gray;horse of a light gray or whitish color 
gray;a neutral achromatic color midway between white and black 
green;green color or pigment resembling the color of growing grass 
grey;clothing that is a grey color "he was dressed in grey" 
grey;horse of a light gray or whitish color 
grey;a neutral achromatic color midway between white and black 
h;a nonmetallic univalent element that is normally a colorless and odorless highly flammable diatomic gas the simplest and lightest and most abundant element in the universe 
hazel;a shade of brown that is yellowish or reddish it is a greenish shade of brown when used to describe the color of someone's eyes 
he;a very light colorless element that is one of the six inert gasses the most difficult gas to liquefy occurs in economically extractable amounts in certain natural gases (as those found in Texas and Kansas) 
heather;interwoven yarns of mixed colors producing muted greyish shades with flecks of color 
iris;muscular diaphragm that controls the size of the pupil which in turn controls the amount of light that enters the eye it forms the colored portion of the eye 
iris;plants with sword-shaped leaves and erect stalks bearing bright-colored flowers composed of three petals and three drooping sepals 
ivory;a shade of white the color of bleached bones 
ivory;a hard smooth ivory colored dentine that makes up most of the tusks of elephants and walruses 
jasper;an opaque form of quartz red or yellow or brown or dark green in color used for ornamentation or as a gemstone 
joseph;(Old Testament) the 11th son of Jacob and one of the 12 patriarchs of Israel Jacob gave Joseph a coat of many colors, which made his brothers jealous and they sold him into slavery in Egypt 
key;(basketball) a space (including the foul line) in front of the basket at each end of a basketball court usually painted a different color from the rest of the court "he hit a jump shot from the top of the key" "he dominates play in the paint" 
klondike;a form of solitaire that begins with seven piles of cards with the top cards facing up descending sequences of cards of alternating colors are built on these piles as aces become available they are placed above the seven piles the object is to build sequences in suit from ace to king as the remaining cards are dealt out one at a time 
kr;a colorless element that is one of the six inert gasses occurs in trace amounts in air 
kurdistan;an oriental rug woven by Kurds that is noted for fine colors and durability 
lippmann;French physicist who developed the first color photographic process (1845-1921) 
mars;a small reddish planet that is the 4th from the sun and is periodically visible to the naked eye minerals rich in iron cover its surface and are responsible for its characteristic color "Mars has two satellites" 
merthiolate;a light-colored crystalline powder (trade name Merthiolate) used as a surgical antiseptic 
mondrian;Dutch painter whose work (intersecting lines at right angles and planes in primary colors) influenced the development of abstract art (1872-1944) 
mosaic;art consisting of a design made of small pieces of colored stone or glass 
moses;United States painter of colorful and primitive rural scenes (1860-1961) 
muscovite;a colorless or pale brown mica with potassium 
n;a common nonmetallic element that is normally a colorless odorless tasteless inert diatomic gas constitutes 78 percent of the atmosphere by volume a constituent of all living tissues 
ne;a colorless odorless gaseous element that give a red glow in a vacuum tube one of the six inert gasses occurs in the air in small amounts 
o;a nonmetallic bivalent element that is normally a colorless odorless tasteless nonflammable diatomic gas constitutes 21 percent of the atmosphere by volume the most abundant element in the earth's crust 
oktoberfest;a strong lager made originally in Germany for the Oktoberfest celebration sweet and copper-colored 
olive;a yellow-green color of low brightness and saturation 
opal;a translucent mineral consisting of hydrated silica of variable color some varieties are used as gemstones 
orange;any pigment producing the orange color 
orange;orange color or pigment any of a range of colors between red and yellow 
pansy;large-flowered garden plant derived chiefly from the wild pansy of Europe and having velvety petals of various colors 
pearl;a shade of white the color of bleached bones 
phoebe;small dun-colored North American flycatcher 
red;red color or pigment the chromatic color resembling the hue of blood 
rock;hard bright-colored stick candy (typically flavored with peppermint) 
rose;a dusty pink color 
rothko;United States abstract painter (born in Russia) whose paintings are characterized by horizontal bands of color with indistinct boundaries (1903-1970) 
ruby;a deep and vivid red color 
samoyed;Siberian breed of white or cream-colored dog of the spitz family 
sauterne;semisweet golden-colored table or dessert wine from around Bordeaux in France similar wine from California 
schiaparelli;fashion designer born in Italy who was noted for her use of synthetic materials and brilliant colors (1896-1973) 
